"location_id","location_name","type","type2","location_address","location_lat","location_long"
"g_11225_0004","入間市立図書館","public","教育・図書施設","埼玉県入間市向陽台１丁目１−７",35.835921439815,139.395969714701
"g_11225_0024","入間市運動公園","public","公園","埼玉県入間市豊岡４丁目２−１",35.8345866343451,139.391883025893
